gender,tenure,PhoneService,TotalCharges,StreamingMovies,StreamingTV,TechSupport,Churn
Male,14,1,1178.4,0,1,1,1
Male,27,1,1421.75,0,0,0,0
Female,72,1,6827.5,0,0,1,0
Male,62,1,4698.05,1,1,0,0
Female,12,1,654.5,0,0,1,0
Female,44,1,3268.05,1,1,1,0
Male,54,1,4362.05,0,0,1,0
Female,68,1,1386.9,0,0,0,0
Male,20,1,415.4,0,0,0,0
Male,50,1,2614.1,0,0,0,0
Male,58,1,1513.6,0,0,0,0
Male,35,1,3161.6,0,1,0,0
Female,2,1,80.95,0,0,0,0
Male,63,1,4676.7,1,0,1,0
Female,58,1,6526.65,1,1,0,0
Female,27,1,583.3,0,0,0,0
Female,71,1,8078.1,1,1,1,0
Female,63,1,3503.5,1,0,0,0
Male,71,1,6669.45,1,0,0,0
Female,41,1,4689.5,1,1,0,1
Male,13,1,1201.15,1,1,0,1
Male,2,1,143.65,0,1,0,1
Female,68,1,1292.65,0,0,0,0
Male,1,1,48.75,0,0,0,0
Male,65,1,7108.2,1,1,1,0
Male,72,1,1802.55,0,0,0,0
Female,28,1,1505.15,0,0,1,0
Male,72,1,1859.1,0,0,0,0
Female,2,1,168.5,0,1,0,0
Female,18,1,390.85,0,0,0,1
Male,60,1,6339.45,1,1,0,0
Female,26,1,1652.4,1,0,1,0
Male,1,1,71.65,0,0,0,1
Female,4,1,77.5,0,0,0,1
Male,68,1,6392.85,1,1,1,0
Female,38,1,3264.5,0,0,1,1
Female,42,1,4599.15,1,1,0,0
Female,57,1,1134.25,0,0,0,0
Male,54,0,1621.35,0,0,0,0
Female,12,1,947.3,1,0,0,1
Female,44,1,2722.2,0,0,0,0
Male,42,1,3058.3,0,1,0,0
Male,72,1,1769.6,0,0,0,0
Female,71,1,6293.75,1,1,1,0
Female,19,1,1761.05,1,0,0,1
Female,23,1,1642.75,1,1,1,0
Female,30,1,578.5,0,0,0,0
Male,35,1,954.9,0,0,0,0
Female,10,1,973.25,1,1,0,1
Male,1,1,43.85,0,0,0,0
Male,22,1,1490.4,0,0,0,0
Male,7,0,280.0,0,0,0,0
Female,36,0,1901.25,1,0,1,0
Female,34,1,716.4,0,0,0,0
Male,72,1,4720.0,0,0,0,0
Male,36,1,930.95,0,0,0,0
Female,1,1,76.35,0,0,0,1
Female,23,1,1676.95,0,0,0,1
Male,32,1,2642.05,1,0,0,1
Female,71,1,6770.85,0,0,1,0
Female,23,1,1835.3,0,0,0,0
Male,17,1,1588.25,1,1,0,0
Male,1,1,75.5,1,1,1,0
Male,12,1,258.35,0,0,0,0
Female,72,1,1502.25,0,0,0,0
Male,1,1,19.2,0,0,0,0
Male,72,1,6929.4,1,1,0,0
Male,60,1,4453.3,0,0,0,0
Female,61,0,3244.4,0,1,1,0
Female,6,1,323.45,0,0,0,0
Male,32,1,2661.1,1,0,0,1
Female,31,1,2697.4,0,1,0,1
Male,19,1,1424.5,0,0,0,1
Male,72,1,1401.15,0,0,0,0
Female,32,1,1739.6,0,0,0,0
Male,65,1,5931.0,1,0,0,0
Female,45,0,2333.85,1,1,0,0
Male,42,1,949.85,0,0,0,0
Male,8,1,572.45,0,0,0,0
Male,32,1,696.8,0,0,0,0
Female,22,1,1381.8,0,0,1,0
Male,57,0,2572.95,1,1,0,1
Male,1,1,47.95,0,0,0,0
Male,1,1,45.1,0,0,0,1
Female,1,1,45.0,0,0,0,0
Male,24,1,2122.45,1,1,1,1
Male,1,1,20.05,0,0,0,1
Male,54,1,4931.8,1,0,0,0
Female,4,1,116.95,0,0,0,0
Male,65,1,6937.95,1,1,1,1
Female,56,1,1261.7,0,0,0,0
Male,45,1,3273.8,1,1,0,0
Female,71,1,1415.85,0,0,0,0
Male,59,1,3958.2,0,1,0,0
Male,69,0,2492.25,0,0,0,0
Male,19,1,279.2,0,0,0,0
Female,55,1,1083.0,0,0,0,0
Female,38,1,755.5,0,0,0,0
Male,10,1,402.6,0,0,0,1
Female,47,1,3252.0,0,0,0,0
Female,2,0,68.75,1,0,0,1
Male,1,1,46.2,0,0,0,1
Female,1,1,45.15,0,0,0,1
Male,1,0,43.3,1,0,0,1
Male,46,1,936.85,0,0,0,0
Female,38,1,2250.65,0,0,0,1
Female,65,1,3857.1,0,0,1,0
Female,19,1,1441.1,0,0,0,1
Male,52,1,4338.6,1,0,0,1
Male,71,1,1378.45,0,0,0,0
Female,1,1,45.95,0,0,0,1
Female,52,0,2566.3,0,1,1,0
Male,6,1,171.0,0,0,0,0
Female,26,1,1597.4,1,0,0,0
Male,48,1,4744.35,1,1,0,0
Female,64,1,6721.6,1,1,1,0
Female,3,1,247.25,0,1,0,1
Male,1,1,44.05,0,0,0,0
Male,72,1,1734.65,0,0,0,0
Male,1,1,45.55,0,0,0,0
Female,51,1,4539.35,1,0,0,0
Female,41,1,804.25,0,0,0,0
Female,72,1,5011.15,0,1,0,0
Female,43,1,3574.5,1,1,1,0
Male,72,1,8086.4,1,1,1,0
Male,47,1,4563.0,1,1,0,0
Male,72,1,6362.35,1,1,1,0
Male,3,1,67.1,0,0,0,0
Male,1,1,70.05,0,0,0,1
Male,2,1,165.45,1,0,0,1
Male,26,0,1156.55,1,0,0,0
Male,29,1,1834.15,1,0,0,0
Female,35,1,3653.35,0,1,1,1
Male,27,1,1477.65,0,0,0,0
Male,24,1,1706.45,1,0,1,0
Male,67,1,3953.7,0,0,1,0
Female,16,1,1194.3,0,0,0,1
Female,23,1,1327.85,0,0,0,0
Male,14,0,419.7,0,0,0,0
Female,1,1,21.0,0,0,0,1
Female,1,1,45.1,0,0,0,1
Male,4,0,207.35,1,1,0,0
Male,16,1,1083.7,1,0,0,0
Female,46,0,2007.85,1,1,0,0
Male,68,1,5882.75,1,1,1,0
Male,38,1,2657.55,0,0,1,0
Male,30,1,1527.5,0,0,0,1
Female,5,1,378.4,1,0,0,1
Male,17,1,1612.2,1,0,0,0
Male,4,1,76.65,0,0,0,0
Female,12,1,260.7,0,0,0,0
Male,72,1,6441.85,1,1,1,0
Male,3,1,266.8,1,1,0,0
Male,56,1,5124.6,1,0,1,1
Female,41,1,962.25,0,0,0,0
Male,40,0,1382.9,0,0,1,0
Female,7,1,571.05,1,1,1,0
Male,69,1,1399.35,0,0,0,0
Male,7,1,150.0,0,0,0,0
Female,5,0,167.2,0,0,0,0
Female,72,1,7657.4,0,1,1,0
Male,44,1,865.05,0,0,0,0
Female,65,1,6153.85,0,1,0,0
Female,3,1,174.2,0,1,1,0
Male,24,1,1269.6,0,0,1,0
Female,44,1,3862.55,0,0,0,1
Female,72,1,6352.4,1,1,1,0
Male,24,1,1348.5,0,0,1,0
Male,1,1,50.9,0,0,0,1
Male,22,1,471.55,0,0,0,0
Male,70,1,5931.75,1,1,1,0
Male,25,1,1404.65,0,1,0,0
Male,37,1,726.1,0,0,0,0
Female,22,1,1961.6,0,1,0,0
Female,59,1,4194.85,0,1,1,0
Male,49,1,4872.45,1,1,0,1
Male,47,1,5118.95,1,1,1,1
Female,31,1,658.95,0,0,0,1
Male,1,1,81.05,1,0,0,0
Male,3,1,76.95,0,0,0,0
Female,53,1,5809.75,1,1,1,0
Male,1,1,20.2,0,0,0,0
Male,20,1,415.9,0,0,0,0
Female,3,1,246.5,0,0,0,1
Female,51,1,996.95,0,0,0,0
Female,51,1,3145.15,0,0,1,0
Female,13,1,265.3,0,0,0,0
Female,1,1,20.9,0,0,0,0
Male,1,1,21.05,0,0,0,0
Male,63,1,4576.3,0,0,1,0
Male,3,1,189.1,1,0,0,0
Male,46,1,908.15,0,0,0,0
Male,1,1,49.8,0,0,0,0
Male,8,0,215.2,0,0,0,1
Female,71,1,1500.95,0,0,0,0
Male,55,1,5099.15,0,1,0,0
Female,70,1,6385.95,0,0,1,0
Female,2,1,159.45,1,0,0,1
Male,67,1,6885.75,1,1,1,0
Male,65,1,5940.85,0,1,0,1
Male,14,1,668.85,0,0,0,0
Female,20,1,1916.2,1,0,1,0
Male,1,1,75.35,0,0,0,1
Male,1,1,75.45,0,0,0,1
Female,49,1,4613.95,1,1,0,0
Female,72,1,7261.25,0,1,0,0
Female,46,1,2459.8,0,0,0,0
Male,24,1,2048.8,0,0,0,0
Female,5,0,163.55,0,0,1,0
Female,33,1,2888.7,0,0,1,0
Female,42,1,2421.6,0,0,0,0
Male,23,1,2292.75,1,1,0,0
Male,8,1,553.4,0,0,0,0
Male,66,1,3465.7,0,0,0,0
Male,24,1,1210.4,0,0,0,1
Male,24,1,1291.3,0,0,0,0
Male,69,1,5356.45,1,0,1,1
Female,53,1,5200.8,1,1,0,0
Female,60,0,3237.05,1,1,0,0
Female,7,1,576.65,0,1,0,1
Female,20,1,433.75,0,0,0,0
Female,23,1,1868.4,1,0,0,0
Male,72,1,5728.55,1,1,1,0
Male,11,1,825.7,0,0,0,1
Male,21,1,390.4,0,0,0,0
Male,1,1,93.55,1,1,0,1
Male,31,1,2845.15,0,1,0,0
Female,57,1,3894.4,0,1,1,0
Female,45,1,886.4,0,0,0,0
Male,10,1,1021.55,1,0,0,0
Female,58,1,5885.4,1,1,1,1
Male,14,1,268.4,0,0,0,0
Male,27,1,2204.35,1,1,1,0
Female,14,1,1259.0,1,0,0,1
Female,12,0,309.1,0,0,0,1
Female,69,1,6398.05,1,0,1,0
Female,25,1,2257.75,0,1,0,1
Male,58,1,6287.25,1,1,0,1
Female,35,0,1662.05,0,1,1,0
Female,16,1,1350.15,0,1,0,1
Male,45,1,3600.65,1,1,0,0
Female,17,1,1329.15,0,1,0,0
Female,1,1,45.7,0,0,0,1
Male,22,1,422.5,0,0,0,0
Female,1,1,69.95,0,0,0,1
Male,67,1,4627.65,1,0,1,0
Female,67,1,6717.9,1,1,1,0
Female,2,0,97.1,1,1,0,1
Male,23,1,1710.45,0,0,0,1
Female,9,1,637.4,0,0,0,0
Female,5,1,117.95,0,0,0,0
Male,54,0,2460.55,0,1,1,0
Female,57,1,5464.65,1,1,0,1
Male,24,1,2165.05,0,1,0,1
Female,49,1,4941.8,1,1,0,1
Male,5,1,223.15,0,0,0,1
Male,2,1,181.1,1,0,0,1
Female,4,1,341.45,0,0,1,1
Male,70,1,5731.85,0,1,1,0
Male,5,1,357.75,0,0,0,1
Male,53,1,4616.1,1,1,1,0
Female,47,1,4533.7,0,1,0,1
Female,31,1,589.25,0,0,0,0
Male,13,1,750.1,0,0,1,0
Female,28,1,1410.25,0,0,0,0
Female,10,1,830.85,1,0,0,1
Male,38,1,743.5,0,0,0,0
Female,1,1,45.3,0,0,0,1
Male,67,1,7040.85,1,1,0,1
Male,52,1,3865.45,1,1,0,0
Male,62,1,6825.65,1,1,1,0
Female,16,1,1340.1,1,0,0,0
Female,5,1,371.65,0,0,0,1
Male,12,1,1184.0,1,1,0,0
Female,72,1,8477.7,1,1,1,0
Male,71,1,7382.85,1,1,1,0
Female,24,1,456.85,0,0,0,0
Female,15,1,331.6,0,0,0,0
Male,67,1,6056.15,1,0,0,1
Male,2,1,134.6,0,0,0,0
Female,5,0,125.5,0,0,0,0
Female,15,1,1390.6,1,1,0,1
Male,1,1,20.2,0,0,0,1
Male,41,1,2511.3,0,0,0,0
Female,43,1,2737.05,1,0,0,0
Male,1,1,74.3,0,0,0,0
Female,1,1,70.6,0,0,0,0
Female,26,1,2361.8,1,1,0,1
Male,22,1,1730.35,0,0,0,1
Male,71,1,6404.0,1,1,1,0
Male,7,1,165.35,0,0,0,0
Female,28,1,1867.6,0,0,1,0
Male,16,1,1043.3,0,0,0,0
Male,7,1,128.6,0,0,0,0
Female,69,1,7455.45,1,1,1,0
Female,1,0,24.7,0,0,0,0
Male,3,1,206.15,1,1,0,0
Male,21,1,2030.3,1,1,0,1
Female,69,1,5869.4,0,0,0,0
Female,71,0,3377.8,0,0,1,0
Female,69,1,1346.2,0,0,0,0
Female,48,1,4946.05,1,1,1,0
Male,47,1,4065.0,0,0,0,1
Female,2,1,106.55,0,0,0,1
Male,45,1,4964.7,1,1,1,0
Male,51,1,4085.75,0,0,0,0
Female,22,1,1742.75,1,1,1,1
Male,72,1,6224.8,1,1,1,0
Male,37,1,3415.25,0,1,0,0
Male,71,1,6325.25,1,1,1,0
Male,7,1,340.25,0,0,0,1
Female,66,1,1683.6,0,0,0,0
Male,51,1,3966.3,1,1,1,0
Female,30,1,608.5,0,0,0,0
Female,34,1,2896.6,0,1,0,0
Male,64,1,1514.85,0,0,0,0
Male,65,1,6792.45,1,1,0,0
Male,47,1,4669.2,0,1,1,0
Female,1,1,95.6,1,1,0,1
Female,49,1,2934.3,0,0,0,1
Female,67,1,6302.8,0,1,1,0
Male,39,1,779.2,0,0,0,0
Male,14,1,283.75,0,0,0,0
Female,43,1,4600.7,1,1,1,1
Male,56,1,5594.0,1,1,0,0
Female,14,1,772.85,1,0,1,0
Female,1,1,71.35,0,0,0,1
Male,16,1,857.8,0,0,0,0
Male,70,1,7554.05,1,1,0,0
Male,72,1,5981.65,1,1,0,0
Female,23,1,1702.9,0,0,0,0
Male,21,1,467.15,0,0,0,0
Female,1,1,20.15,0,0,0,1
Male,1,1,69.75,0,0,0,1
Female,32,1,2931.0,1,1,0,1
Male,17,1,1400.85,0,1,0,1
Female,4,0,137.85,0,0,0,1
Female,36,1,1941.5,0,0,0,0
Female,50,0,1932.75,0,0,1,0
Female,48,0,1423.05,0,0,1,0
Female,50,1,970.85,0,0,0,0
Male,72,1,5810.9,1,0,1,0
Male,10,1,223.9,0,0,0,0
Female,18,1,391.7,0,0,0,0
Male,1,1,79.95,0,1,0,1
Female,1,1,19.3,0,0,0,1
Male,9,1,811.65,1,1,0,0
Male,2,1,174.75,1,0,0,0
Female,40,1,3126.85,0,0,1,0
Male,69,1,6841.45,1,1,0,0
Female,37,1,3754.6,1,0,1,1
Male,18,1,1406.65,0,0,0,0
Male,11,1,834.7,0,0,0,0
Female,8,1,627.4,1,0,0,1
Female,3,1,242.0,0,0,0,1
Male,55,1,3157.0,1,0,0,0
Male,33,1,3092.0,1,0,0,0
Female,46,1,2168.9,0,0,0,0
Male,34,1,980.35,0,0,0,0
Female,3,1,65.95,0,0,0,0
Male,30,1,711.9,0,0,0,0
Female,33,1,1952.8,0,0,1,0
Male,45,1,4368.85,1,0,0,0
Male,40,1,2647.1,0,0,1,0
Female,71,1,8477.6,1,1,1,0
Male,1,1,54.35,0,0,0,1
Female,72,0,4528.0,1,1,1,0
Female,22,1,1790.65,1,0,0,0
Male,46,1,845.6,0,0,0,0
Female,55,1,1210.3,0,0,0,0
Male,1,1,20.45,0,0,0,0
Female,12,1,854.45,1,1,1,0
Male,31,1,2429.1,0,0,0,0
Male,5,0,100.4,0,0,0,1
Female,67,1,5229.45,1,1,0,0
Male,1,1,44.45,0,0,0,0
Male,40,0,1716.45,0,0,0,1
Male,41,1,3023.55,0,1,0,0
Male,1,1,75.3,0,0,0,1
Male,51,1,4837.6,0,1,0,1
Male,42,0,2032.3,0,1,1,0
Male,23,1,436.9,0,0,0,0
Female,1,1,70.55,0,0,0,1
Female,1,1,20.15,0,0,0,0
Female,56,1,5893.95,1,1,0,0
Male,15,1,1430.05,0,1,0,0
Male,12,1,313.0,0,0,0,0
Female,54,1,3871.85,1,0,1,0
Female,7,1,458.1,1,1,0,0
Female,33,1,2745.7,1,0,0,1
Male,16,1,341.35,0,0,0,0
Female,21,1,1336.8,1,0,0,0
Male,30,1,2181.75,1,1,0,0
Male,3,1,147.75,0,0,1,0
Male,11,1,818.45,0,0,0,0
Female,62,1,7133.45,1,1,1,0
Male,18,1,348.8,0,0,0,0
Male,6,1,128.6,0,0,0,0
Female,46,1,4674.4,1,1,0,0
Male,21,1,1737.45,1,0,0,0
Male,68,1,1498.85,0,0,0,0
Female,1,1,50.1,0,0,0,0
Female,25,1,1797.75,0,0,0,0
Female,24,1,498.1,0,0,0,0
Female,30,1,2624.25,1,0,0,1
Female,2,1,184.1,1,0,0,1
Male,51,1,5498.8,1,1,0,0
Female,57,1,4845.4,1,1,1,0
Female,15,1,369.1,0,0,0,0
Female,72,1,6096.9,1,1,1,0
Female,2,1,160.75,0,0,0,1
Male,28,1,2684.35,0,1,0,0
Male,29,1,3004.15,1,1,0,1
Male,70,1,6994.8,0,1,1,0
Female,13,1,273.25,0,0,0,0
Female,59,1,5483.9,0,0,1,0
Male,13,1,1233.65,1,1,0,1
Male,7,1,527.9,0,0,0,1
Female,62,1,4985.9,1,1,1,0
Female,21,1,1258.35,0,0,1,0
Female,2,1,111.4,1,0,0,0
Female,1,1,43.95,0,0,0,0
Male,4,1,308.1,1,0,0,0
Female,19,1,383.65,0,0,0,0
Female,30,1,2555.9,0,1,1,1
Male,67,1,1284.2,0,0,0,0
Male,72,1,7550.3,1,0,0,0
Male,53,1,1110.05,0,0,0,0
Female,5,1,99.6,0,0,0,0
Male,71,1,6707.15,1,0,1,0
Female,50,1,4164.4,1,1,1,0
Male,56,1,5873.75,1,1,1,0
Male,2,1,109.25,0,0,1,0
Female,2,1,179.25,1,0,0,1
Male,24,1,1338.15,0,0,0,1
Male,46,1,862.4,0,0,0,0
Male,71,1,8564.75,1,1,1,0
Female,29,0,926.2,0,0,1,0
Male,69,1,1718.2,0,0,0,0
Male,71,1,5956.85,1,1,1,0
Female,1,1,91.3,1,1,0,1
Male,56,1,4824.45,1,1,1,0
Male,56,1,1238.65,0,0,0,0
Male,1,1,79.5,0,1,0,1
Female,28,1,672.2,0,0,0,0
Female,19,1,382.2,0,0,0,0
Male,66,1,4264.6,1,0,1,0
Female,17,1,1070.7,0,0,1,0
Male,52,1,1345.85,0,0,0,0
Female,19,1,1045.25,0,1,0,0
Female,36,1,3003.55,1,1,1,0
Male,7,1,467.55,0,0,0,1
Male,72,1,7537.5,1,0,1,0
Male,67,1,7482.1,1,1,0,1
Male,34,1,3343.15,1,1,0,0
Male,57,1,5427.05,1,0,0,1
Female,7,1,587.1,0,1,0,1
Female,1,1,100.8,1,1,0,1
Male,8,1,161.15,0,0,0,0
Female,69,1,7028.5,1,1,1,0
Female,50,1,5232.9,1,1,0,0
Male,10,1,225.85,0,0,0,0
Female,12,1,274.7,0,0,0,0
Female,14,1,1180.95,1,0,0,1
Female,70,0,3370.2,1,0,1,0
Female,64,1,7111.3,1,1,1,0
Female,66,1,5958.85,1,1,1,0
Female,71,1,5999.85,1,1,1,0
Male,20,1,1648.45,1,1,0,0
Male,72,1,5753.25,1,1,1,0
Female,71,1,4492.9,0,0,1,0
Male,38,1,3956.7,1,1,0,0
Female,28,1,2625.55,1,0,0,1
Male,17,1,1233.4,0,0,0,1
Male,33,0,1309.0,0,1,0,0
Female,23,0,813.45,0,0,1,0
Male,58,1,1108.8,0,0,0,0
Female,70,1,7349.35,1,1,1,0
Male,4,1,294.2,0,0,0,0
Male,45,1,929.2,0,0,0,0
Male,10,1,740.0,0,0,0,1
Male,36,1,754.5,0,0,0,0
Male,54,1,3883.3,0,1,1,0
Male,23,1,1414.2,0,0,1,0
Female,41,1,3211.2,0,1,0,0
Male,5,1,371.6,0,0,0,0
Male,27,0,1246.4,1,0,0,0
Female,1,1,95.85,1,1,1,0
Female,67,0,2545.7,0,0,1,0
Female,72,1,6448.85,1,1,1,0
Female,56,1,1468.9,0,0,0,0
Male,44,1,1013.6,0,0,0,0
Female,66,1,6690.75,1,1,0,0
Female,34,1,2088.75,0,0,1,1
Female,69,1,7240.65,1,1,1,0
Female,1,1,102.45,1,1,0,1
Female,40,1,830.25,0,0,0,0
Male,30,1,1588.7,0,0,0,0
Female,11,1,829.3,1,1,1,0
Female,15,1,302.45,0,0,0,0
Male,11,1,712.25,1,1,0,0
Female,64,1,1336.65,0,0,0,0
Male,72,1,5360.75,0,1,1,0
Male,72,1,6735.05,0,0,1,0
Female,1,1,51.2,0,0,0,0
Female,15,1,1010.0,0,0,1,0
Female,60,1,4847.05,1,1,1,0
Male,56,1,3019.7,0,0,0,0
Female,8,1,161.65,0,0,0,0
Female,3,1,217.55,0,0,1,1
Female,49,1,2583.75,0,0,0,0
Female,2,1,146.05,0,1,0,1
Female,6,1,567.45,1,0,1,1
Male,70,1,7711.25,1,1,1,0
Male,12,1,1384.75,1,1,1,1
Male,52,1,5481.25,1,1,1,0
Female,72,1,8124.2,1,1,1,0
Female,40,1,827.3,0,0,0,0
Female,1,1,70.9,0,0,0,1
Female,3,1,220.95,0,1,0,1
Female,40,1,3673.6,1,1,0,0
Male,1,1,49.85,0,0,0,0
Male,30,1,576.65,0,0,0,0
Male,23,1,2331.3,1,1,1,1
Male,1,1,74.5,0,0,0,1
Female,44,1,4495.65,1,1,1,0
Male,65,1,6941.2,1,1,1,1
Female,7,1,340.35,0,0,0,0
Male,72,1,1789.9,0,0,0,0
Female,8,1,908.55,1,1,1,0
Female,16,1,1043.35,1,0,0,1
Male,66,1,6822.15,1,1,0,1
Male,1,1,71.55,0,0,0,1
Male,3,1,157.55,0,0,0,0
Male,53,1,5029.2,1,0,0,1
Male,8,1,581.7,1,0,1,0
Male,69,1,7318.2,1,1,1,1
Female,5,1,420.45,0,1,0,0
Female,72,1,7576.7,1,1,1,0
Female,13,0,633.4,1,1,0,1
Female,4,1,321.65,0,1,0,1
Female,54,1,4965.0,1,1,1,0
Male,72,1,6151.9,1,1,1,0
Male,12,1,1253.9,1,1,0,1
Male,1,0,25.15,0,0,0,1
Male,1,1,45.2,0,0,0,0
Female,54,1,5893.15,1,1,1,1
Male,69,1,5420.65,0,0,0,0
Female,48,1,2627.35,0,0,0,0
Female,48,1,5037.55,1,1,0,1
Female,8,1,743.75,1,0,1,0
Male,71,1,6589.6,1,1,1,0
Male,2,1,92.45,0,0,0,1
Male,67,1,6733.15,1,1,0,0
Male,34,1,3410.0,1,1,0,0
Female,3,1,199.85,0,0,0,0
Female,9,1,593.3,0,1,1,0
Male,71,1,7288.4,1,1,0,0
Male,57,1,5229.8,0,1,1,0
Male,72,0,4464.8,1,1,1,0
Female,48,1,5068.05,1,1,1,0
Male,18,1,401.85,0,0,0,0
Male,43,1,4451.85,1,1,1,0
Female,72,1,6688.95,1,1,1,0
Male,35,1,2661.1,1,1,1,0
Male,4,1,73.05,0,0,0,0
Female,49,1,1211.65,0,0,0,0
Female,71,1,7030.65,0,1,0,0
Male,11,1,1020.2,1,1,0,0
Male,63,1,5597.65,1,1,1,0
Female,65,1,6223.3,0,1,0,0
Female,49,1,1024.65,0,0,0,0
Female,29,1,2933.2,1,1,0,1
Female,15,1,1258.3,0,0,1,1
Female,4,1,82.9,0,0,0,0
Female,72,1,7789.6,1,1,1,0
Female,26,1,2067.0,0,1,0,0
Female,35,1,3452.55,1,1,0,0
Female,57,1,5468.95,1,0,1,0
Male,28,1,1802.15,1,0,0,0
Female,25,1,733.55,0,0,0,0
Female,47,1,3021.45,0,1,0,0
Female,57,1,3687.85,0,0,1,0
Male,16,1,1391.15,0,1,0,0
Male,5,1,274.35,0,0,0,0
Male,17,1,1214.05,0,0,0,1
Female,56,1,5510.65,1,1,0,1
Male,72,1,1322.85,0,0,0,0
Female,21,1,1973.75,1,1,0,1
Female,48,0,2196.3,1,0,0,0
Female,68,1,7843.55,1,1,1,0
Female,30,1,3211.9,1,1,1,0
Female,3,1,130.15,0,0,0,0
Female,14,0,692.35,0,0,1,0
Female,4,1,85.5,0,0,0,0
Female,71,1,6849.4,1,0,0,0
Male,8,1,203.95,0,0,0,0
Male,61,0,2117.2,0,0,0,0
Male,72,1,6565.85,0,0,1,0
Female,5,1,424.75,0,1,0,0
Female,49,1,3306.85,0,0,1,0
Male,8,1,168.9,0,0,0,0
Male,3,1,253.8,1,0,0,0
Male,9,1,197.4,0,0,0,0
Male,67,1,3838.2,0,0,0,0
Male,46,1,2065.15,0,0,0,0
Female,67,1,5064.45,1,0,0,0
Female,55,1,1140.05,0,0,0,0
Male,33,1,2447.45,0,1,0,0
Male,62,1,1263.9,0,0,0,0
Female,1,1,45.95,0,0,0,1
Male,49,0,1838.15,1,0,0,0
Male,1,1,44.75,0,0,0,0
Male,14,1,1185.0,0,0,0,0
Male,18,1,1743.9,0,1,1,0
Female,1,1,70.15,0,0,0,1
Female,1,1,85.55,0,1,0,1
Female,72,1,8529.5,1,1,1,0
Male,64,1,6549.45,1,0,1,0
Male,69,1,7806.5,1,1,1,0
Female,1,1,25.7,0,0,0,0
Male,71,1,6287.3,1,1,1,0
Female,66,1,3251.85,0,0,1,0
Male,2,1,50.6,0,0,0,0
Female,71,1,7904.25,1,1,1,0
Male,11,1,729.95,0,1,0,0
Male,47,1,2654.05,0,0,0,0
Female,35,1,2416.55,0,0,0,1
Male,32,1,3520.75,1,1,0,1
Male,60,1,5969.95,1,1,1,0
Male,11,1,226.8,0,0,0,0
Female,29,0,1082.75,0,0,1,0
Male,21,0,565.75,0,0,0,0
Male,48,1,4370.75,1,0,0,0
Female,3,0,90.05,0,0,0,0
Female,43,1,2169.4,0,0,0,0
Male,5,1,550.6,1,1,0,0
Female,1,1,55.45,1,0,0,0
Male,71,1,6300.85,1,1,1,0
Female,8,1,160.05,0,0,0,0
Male,8,1,436.6,0,1,0,0
Male,20,1,1781.35,0,1,0,0
Female,33,1,3467.0,1,1,0,1
Male,71,1,5552.5,0,0,0,0
Female,31,1,2835.5,0,1,0,0
Female,38,1,3591.25,1,0,0,0
Male,1,1,88.35,1,1,0,1
Female,2,0,63.75,0,0,0,0
Female,12,0,617.15,1,1,0,0
Female,9,1,870.25,1,0,1,0
Male,11,1,601.25,0,0,1,0
Male,6,1,111.65,0,0,0,0
Female,71,1,6046.1,1,1,1,0
Female,42,1,3923.8,0,1,0,0
Female,8,1,777.3,1,1,0,1
Female,5,1,512.45,1,1,0,1
Female,2,1,141.45,0,0,0,1
Female,45,1,892.15,0,0,0,0
Male,28,0,1682.05,1,1,1,0
Female,43,1,3398.9,0,0,0,0
Male,60,1,4984.85,1,1,1,0
Female,42,0,1445.3,0,0,1,1
Male,7,0,305.55,1,0,1,0
Female,25,1,507.9,0,0,0,0
Female,40,1,3640.45,1,1,0,1
Male,27,1,2673.45,1,1,0,0
Male,10,0,389.8,0,0,1,0
Female,27,1,2401.05,0,0,0,0
Female,11,1,651.55,0,0,1,0
Male,4,0,156.1,0,1,0,0
Male,68,0,2796.35,1,0,0,0
Male,1,1,70.05,0,0,0,0
Female,18,1,407.05,0,0,0,0
Female,57,1,6465.0,1,1,0,1
Male,26,1,511.25,0,0,0,0
Female,17,0,646.05,0,0,0,0
Male,1,0,35.9,1,0,0,1
Male,38,1,3777.15,1,1,0,1
Male,59,1,4903.15,0,0,0,0
Male,30,1,1653.85,0,0,0,0
Male,2,0,47.5,0,0,0,1
Female,50,1,1306.3,0,0,0,0
Male,9,0,463.6,1,0,1,0
Female,3,1,60.65,0,0,0,0
Female,14,1,824.85,0,1,0,0
Female,31,1,2094.65,0,0,0,0
Female,7,1,438.9,0,0,0,0
Female,8,1,847.3,1,1,1,1
Male,17,1,329.75,0,0,0,0
Male,32,1,674.55,0,0,0,0
Female,2,1,162.55,0,1,0,0
Male,7,1,546.95,0,1,0,1
Female,72,1,7887.25,1,1,0,0
Female,31,1,3186.65,1,1,0,1
Female,27,1,1972.35,0,0,0,0
Female,18,1,1527.35,0,1,0,1
Male,7,1,490.55,0,0,0,0
Female,14,1,1531.4,1,1,0,1
Male,11,1,683.25,0,1,0,0
Female,72,1,8058.85,1,1,1,0
Male,28,1,2847.4,1,1,0,1
Male,15,1,1133.9,0,0,0,1
Female,4,1,294.45,0,0,0,0
Female,71,1,1719.15,0,0,0,0
Female,5,1,461.7,1,0,1,1
Male,47,1,1160.45,0,0,0,0
Male,57,1,5199.8,0,1,0,0
Male,50,1,5163.3,1,1,0,0
Male,8,1,162.3,0,0,0,0
Female,48,1,883.35,0,0,0,0
Female,70,1,1341.5,0,0,0,0
Male,1,1,70.45,1,0,1,0
